brand,product_count,avg_rating,total_reviews,avg_price,cluster,segment
100stem,5,4.279999999999999,8357.0,67.99,0,Mid-Tier / Lower Satisfaction
50stem,6,3.8833333333333333,24452.0,49.99,0,Mid-Tier / Lower Satisfaction
boulder clean,5,4.3,511.0,26.79,0,Mid-Tier / Lower Satisfaction
chicago steak,11,4.5600000000000005,2417.0,240.89909090909094,1,Premium High-Quality
chocolate covered,5,4.0,67.0,55.989999999999995,0,Mid-Tier / Lower Satisfaction
coastal seafood,5,3.8,844.0,195.99,0,Mid-Tier / Lower Satisfaction
crescent foods,5,4.5,216.0,165.99,1,Premium High-Quality
dartagnan,5,4.1,2230.0,297.99,0,Mid-Tier / Lower Satisfaction
davids cookies,12,4.433333333333334,16737.0,50.82333333333333,1,Premium High-Quality
ecos he,6,4.666666666666667,6864.0,38.99,1,Premium High-Quality
ferraras bakery,8,3.975,1386.0,80.99,0,Mid-Tier / Lower Satisfaction
g2g,5,4.86,679.0,45.99,1,Premium High-Quality
japanese wagyu,6,4.533333333333333,2193.0,628.3233333333334,1,Premium High-Quality
kirkland signature,281,4.6,63714.0,20.677188612099645,2,Mass-Market Dominant
made in nature,7,4.514285714285714,6281.0,45.41857142857143,1,Premium High-Quality
nellies,18,4.561111111111111,10152.0,68.21222222222222,1,Premium High-Quality
no sugar,6,4.05,713.0,42.99,0,Mid-Tier / Lower Satisfaction
northfork bison,6,4.366666666666666,688.0,134.99,1,Premium High-Quality
northwest fish,19,4.2,6305.0,216.83210526315793,0,Mid-Tier / Lower Satisfaction
peets coffee,7,4.7,1139.0,39.56142857142857,1,Premium High-Quality
plaza golden,6,4.733333333333333,698.0,573.3233333333334,1,Premium High-Quality
plaza osetra,8,4.574999999999999,7868.0,276.24,1,Premium High-Quality
rastelli,5,4.5200000000000005,1112.0,217.99,1,Premium High-Quality
rastelli usda,5,4.18,3388.0,215.99,0,Mid-Tier / Lower Satisfaction
ruta maya,7,4.728571428571429,11924.0,45.847142857142856,1,Premium High-Quality
san francisco,6,4.64,4794.0,40.49,1,Premium High-Quality
starbucks,5,4.5,1911.0,32.79,1,Premium High-Quality
the unscented company,12,4.14,520.0,52.656666666666666,0,Mid-Tier / Lower Satisfaction
tre olive,5,4.8,379.0,65.99,1,Premium High-Quality
tsar nicoulai,15,4.346666666666667,2972.0,144.65666666666667,1,Premium High-Quality
